O1CN010MUYxe2Fk2Iw1y7tO_!!3838038917.jpg_400x400.jpg	4.337541580200195,2.844203233718872,2.2609777450561523,2.5853683948516846,3.3237125873565674,4.088239669799805,4.955154895782471,3.0440988540649414,3.5496456623077393,3.2681455612182617
O1CN010Obykb2KcJhjWUTiy_!!2207265269577.jpg_400x400.jpg	4.73591423034668,-0.36977723240852356,1.8151748180389404,1.3577251434326172,2.2308363914489746,3.7246432304382324,4.693455219268799,4.001045227050781,2.490471363067627,2.8083696365356445
O1CN010SaH951s1OYTplzkb_!!1630045706.jpg_400x400.jpg	5.33574104309082,1.0947482585906982,1.0439655780792236,1.5391944646835327,2.516355514526367,3.633934736251831,6.047634124755859,5.0722856521606445,4.6742777824401855,5.076551914215088
O1CN010Sc2Fa1kx5VR40fLg_!!0-item_pic.jpg_400x400.jpg	3.4611105918884277,3.03185772895813,1.7610716819763184,1.3958901166915894,3.0680153369903564,1.1789814233779907,3.6146438121795654,3.0191574096679688,1.8246148824691772,0.9270204901695251
O1CN010UUOPu1p3HGVZ91RL_!!0-item_pic.jpg_400x400.jpg	2.737107753753662,1.358399748802185,2.1362757682800293,1.1949794292449951,4.133087635040283,2.1225979328155518,3.8294434547424316,5.10891580581665,4.538722515106201,0.685666561126709
O1CN010VX3SL2I0dtwvjBEw_!!0-item_pic.jpg_400x400.jpg	3.7359728813171387,7.099817276000977,4.742863178253174,1.6162430047988892,2.4276161193847656,3.268688917160034,4.635207176208496,3.400902032852173,2.1977803707122803,0.7139917612075806
O1CN010VZHdf1VslS6ohuNj_!!379092709.jpg_400x400.jpg	4.433450222015381,0.7658822536468506,0.25202569365501404,2.288100242614746,2.0503900051116943,5.984172344207764,7.948237895965576,2.435668706893921,5.079451560974121,2.7000319957733154
O1CN010ZV5Wq2GCQpaZaDJw_!!2200814698979.jpg_400x400.jpg	8.773053169250488,5.705779075622559,1.9527628421783447,3.2413880825042725,1.6418205499649048,4.283076286315918,4.283080577850342,2.874042272567749,4.314307689666748,2.1105480194091797
O1CN010Zls291QOveasxvxH_!!2200727831967.jpg_400x400.jpg	0.758036732673645,2.665438175201416,0.9449962377548218,0.546760618686676,0.9937350749969482,1.1277726888656616,5.821499347686768,8.900104522705078,9.099382400512695,4.327778339385986
O1CN010aulxG1YYYpj9G2OJ_!!0-item_pic.jpg_400x400.jpg	4.119588851928711,2.0783743858337402,2.6841514110565186,2.357438325881958,3.5339410305023193,3.637695789337158,5.651726245880127,2.6495513916015625,1.677951693534851,2.1386561393737793
